word,df,df_ratio,tf_avg,idf,tfidf_avg
bocor,2,0.0013,0.3545,7.2133,0.0005
muat,2,0.0013,0.3873,7.2133,0.0005
kesah,2,0.0013,0.402,7.2133,0.0005
inisiatif,2,0.0013,0.3808,7.2133,0.0005
pengaruh,2,0.0013,0.3826,7.2133,0.0005
dokumen,2,0.0013,0.3879,7.2133,0.0005
elektronik,2,0.0013,0.3909,7.2133,0.0005
imbang,1,0.0007,0.7016,7.6187,0.0005
buru,1,0.0007,0.6797,7.6187,0.0005
budaya,2,0.0013,0.3987,7.2133,0.0005
stnk,2,0.0013,0.3744,7.2133,0.0005
sari,2,0.0013,0.4073,7.2133,0.0005
ogah,1,0.0007,0.7352,7.6187,0.0005
seberang,2,0.0013,0.4027,7.2133,0.0005
cuek,2,0.0013,0.3903,7.2133,0.0005
jempol,2,0.0013,0.381,7.2133,0.0005
olah,2,0.0013,0.402,7.2133,0.0005
kacau,1,0.0007,0.6754,7.6187,0.0005
jebak,2,0.0013,0.3866,7.2133,0.0005
dong,2,0.0013,0.3735,7.2133,0.0005
pantul,1,0.0007,0.7554,7.6187,0.0005
jenazah,2,0.0013,0.4052,7.2133,0.0005
darurat,2,0.0013,0.3949,7.2133,0.0005
dikit,2,0.0013,0.3769,7.2133,0.0005
detail,2,0.0013,0.4111,7.2133,0.0005
dini,2,0.0013,0.3828,7.2133,0.0005
sederhana,2,0.0013,0.3719,7.2133,0.0005
info,2,0.0013,0.3842,7.2133,0.0005
isu,2,0.0013,0.3452,7.2133,0.0005
istirahat,2,0.0013,0.3956,7.2133,0.0005
larut,1,0.0007,0.8073,7.6187,0.0005
timpang,1,0.0007,0.6896,7.6187,0.0005
tim,2,0.0013,0.381,7.2133,0.0005
usia,2,0.0013,0.3952,7.2133,0.0005
acung,2,0.0013,0.381,7.2133,0.0005
amai,1,0.0007,0.5296,7.6187,0.0004
tombak,1,0.0007,0.5635,7.6187,0.0004
wah,1,0.0007,0.5844,7.6187,0.0004
kritis,1,0.0007,0.5546,7.6187,0.0004
kriminalisasi,1,0.0007,0.5713,7.6187,0.0004
kredibilitas,1,0.0007,0.5327,7.6187,0.0004
akibat,1,0.0007,0.6273,7.6187,0.0004
akal,1,0.0007,0.5773,7.6187,0.0004
abadi,1,0.0007,0.6184,7.6187,0.0004
lelucon,1,0.0007,0.6529,7.6187,0.0004
laut,1,0.0007,0.5302,7.6187,0.0004
usut,1,0.0007,0.6361,7.6187,0.0004
timbul,1,0.0007,0.5886,7.6187,0.0004
tradisional,1,0.0007,0.5536,7.6187,0.0004
acu,1,0.0007,0.6144,7.6187,0.0004
indonesiaa,1,0.0007,0.6705,7.6187,0.0004
paksa,1,0.0007,0.5343,7.6187,0.0004
investigasi,1,0.0007,0.5729,7.6187,0.0004
pedih,1,0.0007,0.5733,7.6187,0.0004
pecat,1,0.0007,0.5261,7.6187,0.0004
instan,1,0.0007,0.5963,7.6187,0.0004
jaman,1,0.0007,0.5377,7.6187,0.0004
jati,1,0.0007,0.5261,7.6187,0.0004
jamin,1,0.0007,0.5742,7.6187,0.0004
kabel,1,0.0007,0.5538,7.6187,0.0004
door,1,0.0007,0.6593,7.6187,0.0004
day,2,0.0013,0.3327,7.2133,0.0004
papas,1,0.0007,0.5364,7.6187,0.0004
semrawut,1,0.0007,0.5502,7.6187,0.0004
jogging,1,0.0007,0.5877,7.6187,0.0004
jerit,1,0.0007,0.6262,7.6187,0.0004
juta,1,0.0007,0.5854,7.6187,0.0004
turut,1,0.0007,0.6142,7.6187,0.0004
cerah,1,0.0007,0.5738,7.6187,0.0004
dipindahtugaskan,1,0.0007,0.5402,7.6187,0.0004
seakan,1,0.0007,0.551,7.6187,0.0004
pelintir,1,0.0007,0.585,7.6187,0.0004
sia,1,0.0007,0.5637,7.6187,0.0004
car,2,0.0013,0.3327,7.2133,0.0004
canda,1,0.0007,0.5373,7.6187,0.0004
ngaku,1,0.0007,0.5343,7.6187,0.0004
netral,1,0.0007,0.5535,7.6187,0.0004
ormas,1,0.0007,0.6414,7.6187,0.0004
orator,1,0.0007,0.5752,7.6187,0.0004
operasional,1,0.0007,0.5576,7.6187,0.0004
pln,1,0.0007,0.5538,7.6187,0.0004
hitung,1,0.0007,0.5426,7.6187,0.0004
independen,1,0.0007,0.57,7.6187,0.0004
indah,1,0.0007,0.5414,7.6187,0.0004
imbas,1,0.0007,0.6376,7.6187,0.0004
rs,1,0.0007,0.5522,7.6187,0.0004
simpati,1,0.0007,0.5855,7.6187,0.0004
statistik,1,0.0007,0.6417,7.6187,0.0004
bumerang,1,0.0007,0.5687,7.6187,0.0004
standby,1,0.0007,0.5623,7.6187,0.0004
kamu,1,0.0007,0.5373,7.6187,0.0004
muka,1,0.0007,0.5393,7.6187,0.0004
sunat,1,0.0007,0.5305,7.6187,0.0004
bongkar,1,0.0007,0.5486,7.6187,0.0004
momok,1,0.0007,0.5287,7.6187,0.0004
nasib,1,0.0007,0.5611,7.6187,0.0004
nada,2,0.0013,0.3342,7.2133,0.0004
sakarang,1,0.0007,0.6221,7.6187,0.0004
santun,1,0.0007,0.5745,7.6187,0.0004
pondasi,1,0.0007,0.5845,7.6187,0.0004
haram,1,0.0007,0.6228,7.6187,0.0004
id,1,0.0007,0.5721,7.6187,0.0004
polsek,2,0.0013,0.3268,7.2133,0.0004
massal,1,0.0007,0.5305,7.6187,0.0004
sukses,1,0.0007,0.5698,7.6187,0.0004
bijaksana,1,0.0007,0.617,7.6187,0.0004
mimpi,1,0.0007,0.6572,7.6187,0.0004
mesti,1,0.0007,0.5512,7.6187,0.0004
rupa,1,0.0007,0.5704,7.6187,0.0004
profesionalitas,1,0.0007,0.6022,7.6187,0.0004
profesi,1,0.0007,0.6105,7.6187,0.0004
proaktif,1,0.0007,0.6244,7.6187,0.0004
pro,1,0.0007,0.605,7.6187,0.0004
prihatin,1,0.0007,0.5511,7.6187,0.0004
khianat,1,0.0007,0.5899,7.6187,0.0004
ketidakpastian,1,0.0007,0.5625,7.6187,0.0004
ketidakadilan,1,0.0007,0.615,7.6187,0.0004
syukur,1,0.0007,0.613,7.6187,0.0004
belok,1,0.0007,0.6119,7.6187,0.0004
meja,1,0.0007,0.5469,7.6187,0.0004
kepala,1,0.0007,0.534,7.6187,0.0004
kendali,1,0.0007,0.557,7.6187,0.0004
kenang,1,0.0007,0.595,7.6187,0.0004
batas,1,0.0007,0.5302,7.6187,0.0004
masing,1,0.0007,0.5403,7.6187,0.0004
klasik,1,0.0007,0.5425,7.6187,0.0004
konsekuensi,1,0.0007,0.5789,7.6187,0.0004
mbako,1,0.0007,0.5418,7.6187,0.0004
taruh,1,0.0007,0.5327,7.6187,0.0004
bandang,1,0.0007,0.6125,7.6187,0.0004
galak,1,0.0007,0.5393,7.6187,0.0004
rinding,1,0.0007,0.5674,7.6187,0.0004
pura,1,0.0007,0.6735,7.6187,0.0004
halau,1,0.0007,0.5752,7.6187,0.0004
hajat,1,0.0007,0.6448,7.6187,0.0004
tulus,1,0.0007,0.5349,7.6187,0.0004
tubuh,1,0.0007,0.5654,7.6187,0.0004
manusiawi,1,0.0007,0.6022,7.6187,0.0004
kontribusi,1,0.0007,0.5822,7.6187,0.0004
kontra,1,0.0007,0.605,7.6187,0.0004
teriak,1,0.0007,0.5988,7.6187,0.0004
allah,1,0.0007,0.6497,7.6187,0.0004
antarinstansi,1,0.0007,0.5835,7.6187,0.0004
macam,1,0.0007,0.5797,7.6187,0.0004
transportasi,1,0.0007,0.5922,7.6187,0.0004
andai,1,0.0007,0.5924,7.6187,0.0004
rela,1,0.0007,0.6155,7.6187,0.0004
regulasi,1,0.0007,0.5721,7.6187,0.0004
realitanya,1,0.0007,0.5929,7.6187,0.0004
free,2,0.0013,0.3327,7.2133,0.0004
gercep,1,0.0007,0.5617,7.6187,0.0004
rajin,1,0.0007,0.5427,7.6187,0.0004
zaman,1,0.0007,0.6221,7.6187,0.0004
video,2,0.0013,0.3366,7.2133,0.0004
waswas,1,0.0007,0.5914,7.6187,0.0004
abar,1,0.0007,0.4057,7.6187,0.0003
lempar,1,0.0007,0.4127,7.6187,0.0003
kualitas,1,0.0007,0.486,7.6187,0.0003
kriminalitas,1,0.0007,0.4517,7.6187,0.0003
angkot,1,0.0007,0.4361,7.6187,0.0003
arogansi,1,0.0007,0.4204,7.6187,0.0003
aplikasi,1,0.0007,0.5073,7.6187,0.0003
terimakasih,1,0.0007,0.4287,7.6187,0.0003
terik,1,0.0007,0.3791,7.6187,0.0003
tepi,1,0.0007,0.5154,7.6187,0.0003
tle,1,0.0007,0.4423,7.6187,0.0003
alami,1,0.0007,0.4219,7.6187,0.0003
tua,1,0.0007,0.4287,7.6187,0.0003
kosan,1,0.0007,0.4057,7.6187,0.0003
lumbago,1,0.0007,0.3902,7.6187,0.0003
longsor,1,0.0007,0.4067,7.6187,0.0003
lokal,1,0.0007,0.463,7.6187,0.0003
puing,1,0.0007,0.4067,7.6187,0.0003
gencar,1,0.0007,0.438,7.6187,0.0003
gawai,1,0.0007,0.4613,7.6187,0.0003
polantas,1,0.0007,0.4131,7.6187,0.0003
relawan,1,0.0007,0.4419,7.6187,0.0003
rel,1,0.0007,0.4591,7.6187,0.0003
rejeki,1,0.0007,0.4831,7.6187,0.0003
reda,1,0.0007,0.4457,7.6187,0.0003
untuk,1,0.0007,0.4287,7.6187,0.0003
unggah,1,0.0007,0.4652,7.6187,0.0003
garang,1,0.0007,0.4626,7.6187,0.0003
gapura,1,0.0007,0.4553,7.6187,0.0003
forum,1,0.0007,0.4322,7.6187,0.0003
gerai,1,0.0007,0.4043,7.6187,0.0003
ramadhan,1,0.0007,0.4939,7.6187,0.0003
ramadh,1,0.0007,0.4942,7.6187,0.0003
god,1,0.0007,0.4609,7.6187,0.0003
hidup,1,0.0007,0.4589,7.6187,0.0003
rombong,1,0.0007,0.4215,7.6187,0.0003
rindang,1,0.0007,0.4642,7.6187,0.0003
ribu,1,0.0007,0.4038,7.6187,0.0003
etik,1,0.0007,0.4824,7.6187,0.0003
ersangka,1,0.0007,0.4383,7.6187,0.0003
enggan,1,0.0007,0.4582,7.6187,0.0003
endap,1,0.0007,0.4041,7.6187,0.0003
usai,1,0.0007,0.4201,7.6187,0.0003
usah,1,0.0007,0.4931,7.6187,0.0003
remaja,1,0.0007,0.3791,7.6187,0.0003
praktik,1,0.0007,0.5051,7.6187,0.0003
praktek,1,0.0007,0.4101,7.6187,0.0003
puskesmas,1,0.0007,0.4207,7.6187,0.0003
pungutan,1,0.0007,0.4033,7.6187,0.0003
ponsel,1,0.0007,0.5102,7.6187,0.0003
pondar,1,0.0007,0.3781,7.6187,0.0003
pom,1,0.0007,0.505,7.6187,0.0003
huni,1,0.0007,0.4197,7.6187,0.0003
hotline,1,0.0007,0.421,7.6187,0.0003
urai,1,0.0007,0.5112,7.6187,0.0003
respectt,1,0.0007,0.4942,7.6187,0.0003
rutinitas,1,0.0007,0.3791,7.6187,0.0003
rute,1,0.0007,0.4053,7.6187,0.0003
rusmini,1,0.0007,0.4041,7.6187,0.0003
edar,1,0.0007,0.4212,7.6187,0.0003
dunia,1,0.0007,0.3781,7.6187,0.0003
privasi,1,0.0007,0.4177,7.6187,0.0003
gotong,1,0.0007,0.3756,7.6187,0.0003
got,1,0.0007,0.4099,7.6187,0.0003
good,1,0.0007,0.5166,7.6187,0.0003
pingpong,1,0.0007,0.4666,7.6187,0.0003
hoax,1,0.0007,0.3982,7.6187,0.0003
hoaks,1,0.0007,0.4749,7.6187,0.0003
indak,1,0.0007,0.5039,7.6187,0.0003
incar,1,0.0007,0.3824,7.6187,0.0003
implementasi,1,0.0007,0.4186,7.6187,0.0003
festival,1,0.0007,0.4859,7.6187,0.0003
royong,1,0.0007,0.3756,7.6187,0.0003
sambang,1,0.0007,0.466,7.6187,0.0003
salak,1,0.0007,0.5086,7.6187,0.0003
sahur,1,0.0007,0.3953,7.6187,0.0003
sasar,1,0.0007,0.4012,7.6187,0.0003
urut,1,0.0007,0.3949,7.6187,0.0003
postingan,1,0.0007,0.4186,7.6187,0.0003
posko,1,0.0007,0.4237,7.6187,0.0003
posisi,1,0.0007,0.481,7.6187,0.0003
pasif,1,0.0007,0.4873,7.6187,0.0003
perempuan,1,0.0007,0.4197,7.6187,0.0003
pelat,1,0.0007,0.4479,7.6187,0.0003
pelan,1,0.0007,0.3959,7.6187,0.0003
pekan,1,0.0007,0.4531,7.6187,0.0003
peka,1,0.0007,0.4582,7.6187,0.0003
ironis,1,0.0007,0.4626,7.6187,0.0003
domestik,1,0.0007,0.4989,7.6187,0.0003
dokumentasi,1,0.0007,0.3907,7.6187,0.0003
ditanya,1,0.0007,0.4563,7.6187,0.0003
ditahan,1,0.0007,0.4397,7.6187,0.0003
dita,1,0.0007,0.4767,7.6187,0.0003
diskriminatif,1,0.0007,0.5085,7.6187,0.0003
elemen,1,0.0007,0.5029,7.6187,0.0003
sambut,1,0.0007,0.3936,7.6187,0.0003
duga,1,0.0007,0.4648,7.6187,0.0003
pawai,1,0.0007,0.4707,7.6187,0.0003
ilangnya,1,0.0007,0.4383,7.6187,0.0003
ilang,1,0.0007,0.3856,7.6187,0.0003
ikhlas,1,0.0007,0.4563,7.6187,0.0003
insiden,1,0.0007,0.4557,7.6187,0.0003
segar,1,0.0007,0.4716,7.6187,0.0003
segala,1,0.0007,0.4516,7.6187,0.0003
sedikit,1,0.0007,0.3902,7.6187,0.0003
sebulan,1,0.0007,0.4581,7.6187,0.0003
sebel,1,0.0007,0.4282,7.6187,0.0003
sdm,1,0.0007,0.486,7.6187,0.0003
sembako,1,0.0007,0.4647,7.6187,0.0003
selisih,1,0.0007,0.3974,7.6187,0.0003
selenggara,1,0.0007,0.4875,7.6187,0.0003
sektor,1,0.0007,0.5015,7.6187,0.0003
ingat,1,0.0007,0.4977,7.6187,0.0003
jari,1,0.0007,0.376,7.6187,0.0003
sekali,1,0.0007,0.4596,7.6187,0.0003
dinego,1,0.0007,0.4396,7.6187,0.0003
dicek,1,0.0007,0.4,7.6187,0.0003
dhani,1,0.0007,0.4038,7.6187,0.0003
dishub,1,0.0007,0.5178,7.6187,0.0003
sejahtera,1,0.0007,0.5034,7.6187,0.0003
jalin,1,0.0007,0.3821,7.6187,0.0003
pagar,1,0.0007,0.4635,7.6187,0.0003
padat,1,0.0007,0.4591,7.6187,0.0003
overload,1,0.0007,0.4036,7.6187,0.0003
izin,1,0.0007,0.3802,7.6187,0.0003
isyarat,1,0.0007,0.4342,7.6187,0.0003
isa,1,0.0007,0.4767,7.6187,0.0003
pandemi,1,0.0007,0.4647,7.6187,0.0003
pam,1,0.0007,0.3789,7.6187,0.0003
copet,1,0.0007,0.4559,7.6187,0.0003
coba,1,0.0007,0.4251,7.6187,0.0003
cerita,1,0.0007,0.5143,7.6187,0.0003
cerdas,1,0.0007,0.4716,7.6187,0.0003
disalahgunakan,1,0.0007,0.4132,7.6187,0.0003
sepak,1,0.0007,0.4097,7.6187,0.0003
senyap,1,0.0007,0.5176,7.6187,0.0003
senin,1,0.0007,0.3936,7.6187,0.0003
sembarang,1,0.0007,0.4364,7.6187,0.0003
shift,1,0.0007,0.3789,7.6187,0.0003
dadak,1,0.0007,0.4135,7.6187,0.0003
desak,1,0.0007,0.4297,7.6187,0.0003
seksual,1,0.0007,0.4253,7.6187,0.0003
job,1,0.0007,0.5166,7.6187,0.0003
jiwa,1,0.0007,0.477,7.6187,0.0003
jejak,1,0.0007,0.3856,7.6187,0.0003
on,1,0.0007,0.434,7.6187,0.0003
oke,1,0.0007,0.4254,7.6187,0.0003
nyebrangin,1,0.0007,0.4658,7.6187,0.0003
ulah,1,0.0007,0.5179,7.6187,0.0003
ukur,1,0.0007,0.4456,7.6187,0.0003
ugalan,1,0.0007,0.446,7.6187,0.0003
ugal,1,0.0007,0.446,7.6187,0.0003
ucap,1,0.0007,0.4287,7.6187,0.0003
turis,1,0.0007,0.4012,7.6187,0.0003
palak,1,0.0007,0.4145,7.6187,0.0003
nol,1,0.0007,0.4101,7.6187,0.0003
setor,1,0.0007,0.4071,7.6187,0.0003
setop,1,0.0007,0.4966,7.6187,0.0003
seringkali,1,0.0007,0.4145,7.6187,0.0003
sepi,1,0.0007,0.3985,7.6187,0.0003
sepakat,1,0.0007,0.4444,7.6187,0.0003
kapan,1,0.0007,0.4775,7.6187,0.0003
kampanye,1,0.0007,0.438,7.6187,0.0003
nya,1,0.0007,0.3789,7.6187,0.0003
nonstop,1,0.0007,0.4942,7.6187,0.0003
silaturahmi,1,0.0007,0.3821,7.6187,0.0003
sidik,1,0.0007,0.376,7.6187,0.0003
sibar,1,0.0007,0.4186,7.6187,0.0003
cekcok,1,0.0007,0.4225,7.6187,0.0003
camat,1,0.0007,0.5145,7.6187,0.0003
cam,1,0.0007,0.3907,7.6187,0.0003
sheila,1,0.0007,0.434,7.6187,0.0003
nikah,1,0.0007,0.4962,7.6187,0.0003
ngebut,1,0.0007,0.4132,7.6187,0.0003
nenek,1,0.0007,0.4648,7.6187,0.0003
kaku,1,0.0007,0.4149,7.6187,0.0003
nyebrang,1,0.0007,0.4872,7.6187,0.0003
nanya,1,0.0007,0.4447,7.6187,0.0003
nakes,1,0.0007,0.4254,7.6187,0.0003
nakal,1,0.0007,0.3791,7.6187,0.0003
musik,1,0.0007,0.4253,7.6187,0.0003
kemudian,1,0.0007,0.4078,7.6187,0.0003
siti,1,0.0007,0.4041,7.6187,0.0003
simulasi,1,0.0007,0.4379,7.6187,0.0003
simpatik,1,0.0007,0.3827,7.6187,0.0003
stasiun,1,0.0007,0.4657,7.6187,0.0003
bunyi,1,0.0007,0.3959,7.6187,0.0003
bundar,1,0.0007,0.4534,7.6187,0.0003
nyala,1,0.0007,0.4029,7.6187,0.0003
junjung,1,0.0007,0.5185,7.6187,0.0003
kapolri,1,0.0007,0.3873,7.6187,0.0003
kapolresta,1,0.0007,0.4862,7.6187,0.0003
kapolr,1,0.0007,0.423,7.6187,0.0003
muncul,1,0.0007,0.4374,7.6187,0.0003
kejar,1,0.0007,0.4673,7.6187,0.0003
kawasan,1,0.0007,0.3773,7.6187,0.0003
spekulasi,1,0.0007,0.4374,7.6187,0.0003
bpn,1,0.0007,0.4456,7.6187,0.0003
bpbd,1,0.0007,0.4934,7.6187,0.0003
bolak,1,0.0007,0.3963,7.6187,0.0003
body,1,0.0007,0.3907,7.6187,0.0003
bless,1,0.0007,0.4609,7.6187,0.0003
bising,1,0.0007,0.4253,7.6187,0.0003
bis,1,0.0007,0.4118,7.6187,0.0003
muda,1,0.0007,0.3779,7.6187,0.0003
modernisasi,1,0.0007,0.5193,7.6187,0.0003
natal,1,0.0007,0.4835,7.6187,0.0003
nasional,1,0.0007,0.438,7.6187,0.0003
narkoba,1,0.0007,0.4212,7.6187,0.0003
kasihan,1,0.0007,0.4931,7.6187,0.0003
kereta,1,0.0007,0.4591,7.6187,0.0003
sukarelawan,1,0.0007,0.4612,7.6187,0.0003
suci,1,0.0007,0.5045,7.6187,0.0003
stunting,1,0.0007,0.4792,7.6187,0.0003
bincang,1,0.0007,0.4909,7.6187,0.0003
bidang,1,0.0007,0.4517,7.6187,0.0003
biaya,1,0.0007,0.4633,7.6187,0.0003
biadab,1,0.0007,0.4188,7.6187,0.0003
betul,1,0.0007,0.4599,7.6187,0.0003
besok,1,0.0007,0.4011,7.6187,0.0003
stabilitas,1,0.0007,0.438,7.6187,0.0003
minimarket,1,0.0007,0.4646,7.6187,0.0003
merespon,1,0.0007,0.4582,7.6187,0.0003
menyebrang,1,0.0007,0.4364,7.6187,0.0003
mungut,1,0.0007,0.4505,7.6187,0.0003
mampir,1,0.0007,0.4596,7.6187,0.0003
syarat,1,0.0007,0.3866,7.6187,0.0003
supir,1,0.0007,0.4774,7.6187,0.0003
tanggulang,1,0.0007,0.4939,7.6187,0.0003
berisik,1,0.0007,0.3831,7.6187,0.0003
beres,1,0.0007,0.3824,7.6187,0.0003
beratmya,1,0.0007,0.4463,7.6187,0.0003
berangkat,1,0.0007,0.4446,7.6187,0.0003
bentrok,1,0.0007,0.4165,7.6187,0.0003
belum,1,0.0007,0.3773,7.6187,0.0003
beliung,1,0.0007,0.3884,7.6187,0.0003
birokratis,1,0.0007,0.3802,7.6187,0.0003
menang,1,0.0007,0.3781,7.6187,0.0003
mena,1,0.0007,0.4127,7.6187,0.0003
medsos,1,0.0007,0.4192,7.6187,0.0003
miskin,1,0.0007,0.4466,7.6187,0.0003
banding,1,0.0007,0.4027,7.6187,0.0003
tenda,1,0.0007,0.4553,7.6187,0.0003
telepon,1,0.0007,0.4078,7.6187,0.0003
begitu,1,0.0007,0.5031,7.6187,0.0003
begal,1,0.0007,0.3989,7.6187,0.0003
tangga,1,0.0007,0.4041,7.6187,0.0003
tampung,1,0.0007,0.4722,7.6187,0.0003
tampil,1,0.0007,0.434,7.6187,0.0003
teguh,1,0.0007,0.5046,7.6187,0.0003
baliho,1,0.0007,0.4749,7.6187,0.0003
bazar,1,0.0007,0.5082,7.6187,0.0003
masker,1,0.0007,0.4419,7.6187,0.0003
maren,1,0.0007,0.4556,7.6187,0.0003
mentang,1,0.0007,0.4516,7.6187,0.0003
mengapa,1,0.0007,0.4666,7.6187,0.0003
ketat,1,0.0007,0.4231,7.6187,0.0003
mampet,1,0.0007,0.4099,7.6187,0.0003
matang,1,0.0007,0.4599,7.6187,0.0003
komplek,1,0.0007,0.5191,7.6187,0.0003
kompak,1,0.0007,0.4102,7.6187,0.0003
komando,1,0.0007,0.4067,7.6187,0.0003
kolaborasi,1,0.0007,0.4856,7.6187,0.0003
kode,1,0.0007,0.4824,7.6187,0.0003
matahari,1,0.0007,0.3791,7.6187,0.0003
marak,1,0.0007,0.3953,7.6187,0.0003
barikade,1,0.0007,0.383,7.6187,0.0003
tebak,1,0.0007,0.4757,7.6187,0.0003
tawur,1,0.0007,0.4534,7.6187,0.0003
tau,1,0.0007,0.4594,7.6187,0.0003
tanjak,1,0.0007,0.4856,7.6187,0.0003
tenggelam,1,0.0007,0.5092,7.6187,0.0003
bangku,1,0.0007,0.4302,7.6187,0.0003
atlet,1,0.0007,0.4116,7.6187,0.0003
amplop,1,0.0007,0.4036,7.6187,0.0003
amburadul,1,0.0007,0.518,7.6187,0.0003
telat,1,0.0007,0.3941,7.6187,0.0003
tumpang,1,0.0007,0.4118,7.6187,0.0003
tumbang,1,0.0007,0.4102,7.6187,0.0003
asn,1,0.0007,0.4789,7.6187,0.0003
asih,1,0.0007,0.4277,7.6187,0.0003
balap,1,0.0007,0.3993,7.6187,0.0003
bahan,1,0.0007,0.5207,7.6187,0.0003
batal,1,0.0007,0.4038,7.6187,0.0003
kooperatif,1,0.0007,0.4933,7.6187,0.0003
kontainer,1,0.0007,0.506,7.6187,0.0003
konkret,1,0.0007,0.3755,7.6187,0.0003
konflik,1,0.0007,0.3936,7.6187,0.0003
mandir,1,0.0007,0.3781,7.6187,0.0003
logistik,1,0.0007,0.5119,7.6187,0.0003
liput,1,0.0007,0.4255,7.6187,0.0003
linmas,1,0.0007,0.5138,7.6187,0.0003
makam,1,0.0007,0.4635,7.6187,0.0003
mahluk,1,0.0007,0.4463,7.6187,0.0003
mah,1,0.0007,0.4466,7.6187,0.0003
macem,1,0.0007,0.5049,7.6187,0.0003
lah,1,0.0007,0.4565,7.6187,0.0003
trauma,1,0.0007,0.4029,7.6187,0.0003
tetangga,1,0.0007,0.4436,7.6187,0.0003
tes,1,0.0007,0.4928,7.6187,0.0003
antriannya,1,0.0007,0.376,7.6187,0.0003
antrian,1,0.0007,0.3949,7.6187,0.0003
baca,1,0.0007,0.4081,7.6187,0.0003
ayo,1,0.0007,0.5029,7.6187,0.0003
awal,1,0.0007,0.3941,7.6187,0.0003
valid,1,0.0007,0.3982,7.6187,0.0003
alun,1,0.0007,0.4395,7.6187,0.0003
toleransi,1,0.0007,0.434,7.6187,0.0003
tolak,1,0.0007,0.4214,7.6187,0.0003
tokoh,1,0.0007,0.4635,7.6187,0.0003
you,1,0.0007,0.4609,7.6187,0.0003
wibawa,1,0.0007,0.4931,7.6187,0.0003
aba,1,0.0007,0.5144,7.6187,0.0003
ahmad,1,0.0007,0.4038,7.6187,0.0003
agustus,1,0.0007,0.4201,7.6187,0.0003
licik,1,0.0007,0.4121,7.6187,0.0003
libur,1,0.0007,0.4407,7.6187,0.0003
liar,1,0.0007,0.3993,7.6187,0.0003
les,1,0.0007,0.4116,7.6187,0.0003
lepas,1,0.0007,0.4478,7.6187,0.0003
lempem,1,0.0007,0.4709,7.6187,0.0003
ramadan,1,0.0007,0.3953,7.6187,0.0003
rahasia,1,0.0007,0.4188,7.6187,0.0003
raga,1,0.0007,0.477,7.6187,0.0003
puting,1,0.0007,0.3884,7.6187,0.0003
puter,1,0.0007,0.5119,7.6187,0.0003
premanisme,1,0.0007,0.5014,7.6187,0.0003
akting,1,0.0007,0.3781,7.6187,0.0003
ajang,1,0.0007,0.4071,7.6187,0.0003
latar,1,0.0007,0.4531,7.6187,0.0003
lari,1,0.0007,0.4116,7.6187,0.0003
lantas,1,0.0007,0.4302,7.6187,0.0003
timbang,1,0.0007,0.45,7.6187,0.0003
trail,1,0.0007,0.4977,7.6187,0.0003
total,1,0.0007,0.4368,7.6187,0.0003
tongkrong,1,0.0007,0.4984,7.6187,0.0003
verifikasi,1,0.0007,0.4057,7.6187,0.0003
warganet,1,0.0007,0.3317,7.6187,0.0002
warna,1,0.0007,0.3693,7.6187,0.0002
yatim,1,0.0007,0.3727,7.6187,0.0002
to,1,0.0007,0.3296,7.6187,0.0002
toa,1,0.0007,0.3329,7.6187,0.0002
tukang,1,0.0007,0.3734,7.6187,0.0002
telusur,1,0.0007,0.3411,7.6187,0.0002
temui,1,0.0007,0.3714,7.6187,0.0002
tambal,1,0.0007,0.3198,7.6187,0.0002
sweeping,1,0.0007,0.3522,7.6187,0.0002
solid,1,0.0007,0.3577,7.6187,0.0002
sempit,1,0.0007,0.3623,7.6187,0.0002
segan,1,0.0007,0.3317,7.6187,0.0002
samsat,1,0.0007,0.3648,7.6187,0.0002
satlantas,1,0.0007,0.3616,7.6187,0.0002
salin,1,0.0007,0.3566,7.6187,0.0002
rinc,1,0.0007,0.363,7.6187,0.0002
pesan,1,0.0007,0.3329,7.6187,0.0002
per,1,0.0007,0.3114,7.6187,0.0002
pecah,1,0.0007,0.3567,7.6187,0.0002
pandu,1,0.0007,0.3708,7.6187,0.0002
palem,1,0.0007,0.361,7.6187,0.0002
ojek,1,0.0007,0.3734,7.6187,0.0002
mall,1,0.0007,0.3727,7.6187,0.0002
make,1,0.0007,0.3108,7.6187,0.0002
loket,1,0.0007,0.3708,7.6187,0.0002
lima,1,0.0007,0.3742,7.6187,0.0002
lacar,1,0.0007,0.3289,7.6187,0.0002
knalpot,1,0.0007,0.3522,7.6187,0.0002
kemaren,1,0.0007,0.3108,7.6187,0.0002
jarak,1,0.0007,0.372,7.6187,0.0002
instagram,1,0.0007,0.3481,7.6187,0.0002
idul,1,0.0007,0.372,7.6187,0.0002
imei,1,0.0007,0.3411,7.6187,0.0002
halaman,1,0.0007,0.3196,7.6187,0.0002
gilaa,1,0.0007,0.3108,7.6187,0.0002
update,1,0.0007,0.3481,7.6187,0.0002
entah,1,0.0007,0.3593,7.6187,0.0002
fitri,1,0.0007,0.372,7.6187,0.0002
diadakan,1,0.0007,0.3114,7.6187,0.0002
defensif,1,0.0007,0.3317,7.6187,0.0002
dagang,1,0.0007,0.3742,7.6187,0.0002
dateng,1,0.0007,0.3593,7.6187,0.0002
brong,1,0.0007,0.3522,7.6187,0.0002
bentak,1,0.0007,0.3742,7.6187,0.0002
bandel,1,0.0007,0.3714,7.6187,0.0002
bap,1,0.0007,0.3566,7.6187,0.0002
